OBJECTID,TYPE,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
1,Armed Assault,61,44,63,62,46,81,124,255,241,447,574,697,664,852,823,659,592,826,922,1121,876,1271,1327,0,816,740,638,826,264,367,493,582,367,315,259,512,739,849,1093,1115,1114,1395,2085,2962,4071,3368,2733,2365
2,Assassination,22,70,265,164,158,181,204,146,263,526,618,405,361,360,443,311,371,420,821,980,877,730,1111,0,771,729,478,420,24,61,103,127,73,88,104,225,140,140,219,228,360,342,461,853,920,927,821,816
3,Bombing/Explosion,333,239,188,149,285,370,419,635,644,1058,997,1082,1125,1246,1776,1482,1506,1123,1649,1797,1731,1988,1738,0,1153,791,1219,1123,504,652,904,800,720,689,659,1064,1506,1866,2662,2568,2510,2590,5083,6685,8799,7662,7108,5024
4,Facility/Infrastructure Attack,174,88,19,36,42,64,113,182,181,197,169,151,148,142,162,138,141,137,151,240,190,353,472,0,189,296,216,137,58,114,111,148,49,88,33,50,107,115,285,348,293,242,305,564,783,705,696,751
5,Hijacking,11,6,12,8,3,1,4,7,0,9,14,18,8,8,21,15,4,16,9,13,8,25,24,0,37,30,23,16,3,6,7,14,6,3,1,2,3,7,16,23,13,9,5,17,49,38,43,58
6,Hostage Taking (Barricade Incident),3,1,4,7,5,13,6,13,43,76,50,34,50,26,29,55,27,3,16,18,17,16,22,0,34,14,15,3,0,6,2,4,4,2,3,0,7,6,5,4,8,2,18,26,46,82,61,82
7,Hostage Taking (Kidnapping),38,20,16,43,37,27,45,67,97,146,140,122,105,124,77,116,96,299,109,130,168,222,142,0,191,141,155,299,43,114,125,145,79,46,77,120,202,223,388,279,391,363,353,634,1397,1197,1132,878
8,Unarmed Assault,3,0,0,3,4,0,3,0,5,7,2,3,3,2,7,5,6,25,5,8,7,14,48,0,61,108,23,25,15,36,26,41,10,20,4,6,15,6,31,19,21,20,30,39,54,95,71,101
9,Unknown,6,3,1,1,1,3,5,14,52,196,98,74,79,110,157,134,117,348,39,17,13,64,187,0,204,232,291,348,23,39,43,45,25,27,26,38,39,30,106,137,116,113,182,256,784,891,922,825
